Code,Country,Region(s),hfa,hfa_base,team_hfa,team_hfa_home,alt_bonus,dist_bonus,Home field,Legacy year,_1872,_1873,_1874,_1875,_1876,_1877,_1878,_1879,_1880,_1881,_1882,_1883,_1884,_1885,_1886,_1887,_1888,_1889,_1890,_1891,_1892,_1893,_1894,_1895,_1896,_1897,_1898,_1899,_1900,_1901,_1902,_1903,_1904,_1905,_1906,_1907,_1908,_1909,_1910,_1911,_1912,_1913,_1914,_1915,_1916,_1917,_1918,_1919,_1920,_1921,_1922,_1923,_1924,_1925,_1926,_1927,_1928,_1929,_1930,_1931,_1932,_1933,_1934,_1935,_1936,_1937,_1938,_1939,_1940,_1941,_1942,_1943,_1944,_1945,_1946,_1947,_1948,_1949,_1950,_1951,_1952,_1953,_1954,_1955,_1956,_1957,_1958,_1959,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,defunct
ENG,:gb-eng: England@@england,"<span style=""color:#2A6FB5"">Europe</span>",53,52,-35,-22,0,23,53,1872,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,6,6,3,3,3,3,3,0,0,0,0,1,3,4,3,7,5,4,4,7,5,6,5,6,4,6,5,6,7,7,7,6,2,6,5,5,5,7,9,8,6,8,9,7,7,8,9,8,9,7,11,9,8,10,11,8,12,9,17,6,9,11,12,9,7,12,10,9,10,11,9,10,13,9,15,11,11,12,15,8,12,11,15,12,12,11,6,9,12,11,14,10,11,10,13,11,14,11,14,12,10,11,12,9,13,12,13,10,14,10,17,10,8,19,13,10,17,10,0
SCO,:gb-sct: Scotland@@scotland,"<span style=""color:#2A6FB5"">Europe</span>",73,52,-3,-2,0,23,73,1872,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3,4,3,3,3,7,4,7,4,4,3,4,4,6,5,1,1,3,3,2,3,3,7,5,6,4,7,7,6,4,9,7,5,8,8,6,7,8,4,8,5,9,6,4,5,8,4,10,9,9,11,10,7,10,10,9,8,9,11,11,6,8,11,8,8,8,11,6,11,8,7,9,10,10,10,10,7,6,9,12,11,9,7,10,7,7,7,10,8,10,7,6,8,8,10,10,8,15,10,10,13,10,0
WAL,:gb-wls: Wales@@wales,"<span style=""color:#2A6FB5"">Europe</span>",52,52,-37,-23,0,23,52,1876,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3,4,3,4,3,3,3,4,3,4,2,2,4,3,3,4,1,3,2,3,2,3,3,3,3,7,3,5,3,5,5,4,3,7,10,3,4,6,7,4,5,8,6,3,3,7,4,8,4,6,6,6,8,9,6,8,6,8,7,9,8,6,6,6,6,6,6,8,9,7,7,6,7,6,6,5,7,7,7,9,9,9,8,12,10,10,6,10,7,9,6,7,13,8,9,10,8,16,12,10,10,10,0
EIR,💀 Ireland (unified)@@ireland (unified),"<span style=""color:#2A6FB5"">Europe</span>",74,52,0,0,0,22,74,1882,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARG,:ar: Argentina@@argentina,"<span style=""color:#8B2424"">LatAm</span>",47,52,-51,-32,0,27,47,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,3,3,4,6,5,6,1,4,8,6,6,7,5,1,6,8,7,6,6,5,8,7,7,4,2,0,1,5,3,7,2,4,9,7,7,4,4,16,5,7,2,0,2,2,2,2,2,5,18,15,7,11,14,8,8,10,7,9,6,9,11,8,5,10,11,12,13,9,13,11,13,11,9,4,10,8,12,12,10,7,7,11,12,14,7,17,12,16,7,14,13,14,12,9,7,13,17,17,9,16,11,13,14,21,11,12,15,15,15,10,13,15,4,17,16,10,15,9,0
URU,:uy: Uruguay@@uruguay,"<span style=""color:#8B2424"">LatAm</span>",105,52,39,25,0,29,105,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,3,3,4,6,5,5,1,4,8,5,6,7,5,1,5,6,13,5,4,6,9,7,5,1,3,0,0,5,2,7,2,5,4,4,8,2,6,9,7,9,4,7,10,0,5,7,9,5,11,12,2,11,5,5,10,2,5,11,10,11,8,7,9,6,7,8,11,7,11,10,3,8,14,8,4,15,7,17,11,4,8,18,10,13,8,15,1,17,8,18,1,11,10,17,10,13,14,11,10,14,11,12,13,16,10,17,13,12,12,10,13,13,4,15,11,10,14,10,0
AUT,:at: Austria@@austria,"<span style=""color:#2A6FB5"">Europe</span>",70,52,-6,-4,1,22,70,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,2,5,4,2,3,8,3,4,4,4,7,4,3,3,6,6,6,9,10,7,7,7,6,5,9,8,8,11,6,8,8,1,1,0,0,0,0,0,3,6,4,8,7,7,6,7,6,11,7,7,8,8,6,8,5,9,7,5,9,7,7,7,6,7,7,6,7,6,7,8,8,13,8,7,6,11,6,7,6,6,7,10,10,12,8,10,9,8,7,6,8,11,7,7,10,8,8,8,9,8,12,14,9,7,11,8,10,8,8,12,8,11,10,8,16,10,10,14,10,0
HUN,:hu: Hungary@@hungary,"<span style=""color:#2A6FB5"">Europe</span>",52,52,-33,-21,0,21,52,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,4,4,6,3,7,8,3,5,4,4,5,4,3,3,3,7,6,9,10,8,7,6,5,8,8,9,9,11,8,10,7,9,10,6,3,3,5,0,3,3,7,9,8,6,3,8,8,14,12,11,8,12,8,6,12,12,9,8,7,12,7,2,8,7,10,14,6,8,10,10,15,10,8,9,9,9,12,11,8,8,9,11,9,10,13,10,8,12,8,8,11,9,10,9,11,10,10,14,13,8,12,10,9,9,11,9,9,9,9,12,9,10,10,8,15,10,10,13,10,0
BEL,:be: Belgium@@belgium,"<span style=""color:#2A6FB5"">Europe</span>",69,52,-9,-5,0,23,69,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,3,4,4,4,7,3,0,1,0,3,1,4,5,5,5,8,5,6,9,10,5,12,6,8,9,6,6,6,7,8,7,2,0,0,0,1,2,5,6,6,7,7,6,7,9,9,7,6,8,6,5,9,8,7,6,6,8,6,6,8,4,6,7,8,3,7,4,4,6,5,7,11,6,11,6,10,5,13,7,6,9,11,7,7,6,11,8,6,8,11,14,10,10,14,8,8,9,9,10,8,12,8,11,9,11,14,9,15,10,17,10,8,17,12,10,14,10,0
FRA,:fr: France@@france,"<span style=""color:#2A6FB5"">Europe</span>",57,52,-30,-19,0,25,57,1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,1,2,5,3,4,5,0,1,0,1,1,5,3,3,6,7,3,6,5,7,6,12,5,7,7,7,7,4,7,6,4,1,0,2,0,1,4,4,6,5,9,4,7,8,9,6,7,5,7,13,5,10,7,5,8,5,6,10,6,5,5,7,8,6,6,6,6,6,7,11,6,6,8,15,7,12,6,14,6,9,7,8,6,11,8,9,8,14,8,18,11,16,13,13,14,15,11,17,12,14,12,13,13,14,12,15,10,17,11,18,11,8,16,15,10,16,10,0
